code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
5250,Consumer Products & Services,1.3,1.21,1.56,0.0893,30.0,4.38,3.37,2.3,1.77,49.05
7214,Industrial Products & Services,0.425,0.27,0.565,0.8,6.0,6.61,15.55,2.5,5.88,8.26
7086,Industrial Products & Services,0.08,0.04,0.095,0.17,-31.0,-0.26,-3.25,0.0,0.0,-1.53
5198,Industrial Products & Services,0.345,0.255,0.71,0.89,33.0,1.03,2.99,0.0,0.0,1.16
7131,Property,0.205,0.165,0.335,0.34,7.0,2.8,13.66,0.0,0.0,8.24
7120,Consumer Products & Services,0.385,0.22,0.415,0.52,-47.0,-0.82,-2.13,0.0,0.0,-1.58
1481,Consumer Products & Services,0.125,0.07,0.24,0.518,2.0,8.07,64.56,0.25,2.0,15.58
5281,Construction,0.37,0.21,0.455,0.48,14.0,2.68,7.24,0.6,1.62,5.58
9148,Industrial Products & Services,1.9,1.68,2.4,1.53,-272.0,-0.7,-0.37,6.0,3.16,-0.46
7191,Health Care,1.06,0.28,1.43,0.23,7.0,14.49,13.67,7.0,6.6,63.0
7146,Industrial Products & Services,0.1,0.04,0.13,0.2,-39.0,-0.26,-2.6,0.0,0.0,-1.3
6599,Consumer Products & Services,1.12,0.91,1.83,1.21,14.0,7.78,6.95,4.0,3.57,6.43
5139,Financial Services,9.03,7.7,17.0,6.14,8.0,115.15,12.75,36.25,4.01,18.75
5185,Financial Services,1.54,1.25,2.18,4.7,6.0,24.56,15.95,0.0,0.0,5.23
7145,Construction,0.17,0.05,0.2,0.51,8.0,2.08,12.24,0.0,0.0,4.08
7315,Consumer Products & Services,0.085,0.04,0.165,0.167,-3.0,-2.69,-31.65,0.0,0.0,-16.11
7078,Construction,0.21,0.115,0.465,0.7139,-4.0,-5.13,-24.43,0.0,0.0,-7.19
5099,Consumer Products & Services,0.74,0.5,2.15,1.33,-8.0,-9.63,-13.01,0.0,0.0,-7.24
5238,Consumer Products & Services,0.105,0.04,0.25,0.05,-1.0,-11.8,-112.38,0.0,0.0,-236.0
2658,Consumer Products & Services,14.0,9.96,17.88,7.91,15.0,91.83,6.56,47.0,3.36,11.61
7609,Industrial Products & Services,0.34,0.2,0.53,1.19,14.0,2.51,7.38,0.0,0.0,2.11
5116,Real Estate Investment Trusts,1.37,1.19,1.65,1.3024,13.0,10.35,7.55,7.75,5.66,7.95
5269,Real Estate Investment Trusts,0.71,0.595,0.94,1.076,11.0,6.23,8.77,5.35,7.54,5.79
5115,Energy,0.08,0.03,0.2,0.37,-1.0,-6.35,-79.38,0.0,0.0,-17.16
2674,Industrial Products & Services,0.44,0.18,0.6,0.91,-336.0,-0.13,-0.3,0.0,0.0,-0.14
2488,Financial Services,2.04,1.48,3.9,3.82,7.0,28.29,13.87,16.7,8.19,7.41
1163,Financial Services,13.86,11.4,16.87,20.77,5.0,278.41,20.09,65.0,4.69,13.4
2682,Industrial Products & Services,0.19,0.16,0.33,0.9812,-10.0,-1.9,-10.0,0.0,0.0,-1.94
4952,Real Estate Investment Trusts,0.71,0.58,0.83,1.2674,12.0,5.79,8.15,5.75,8.1,4.57
5127,Real Estate Investment Trusts,0.68,0.5,0.86,1.3378,11.0,6.19,9.1,6.2,9.12,4.63
1007,Property,0.345,0.26,0.58,1.45,12.0,2.92,8.46,3.0,8.7,2.01
5293,Construction,1.62,1.01,2.05,1.45,11.0,15.28,9.43,0.0,0.0,10.54
5120,Real Estate Investment Trusts,0.45,0.32,0.515,1.219,15.0,3.04,6.76,4.0,8.89,2.49
1015,Financial Services,2.95,2.82,4.55,6.08,6.0,51.52,17.46,20.0,6.78,8.47
7031,Telecommunications & Media,0.52,0.47,0.68,0.9262,6.0,9.23,17.75,0.0,0.0,9.97
6351,Consumer Products & Services,4.9,4.5,6.16,1.35,16.0,31.12,6.35,27.5,5.61,23.05
7083,Industrial Products & Services,1.04,0.815,1.16,2.48,24.0,4.34,4.17,2.0,1.92,1.75
4758,Industrial Products & Services,0.745,0.38,0.805,1.38,14.0,5.16,6.93,0.0,0.0,3.74
6556,Industrial Products & Services,0.69,0.415,1.65,2.23,-4.0,-16.05,-23.26,12.0,17.39,-7.2
9342,Industrial Products & Services,0.035,0.01,0.045,0.161,-10.0,-0.36,-10.29,0.0,0.0,-2.24
5568,Industrial Products & Services,0.4,0.355,0.6,1.39,-15.0,-2.63,-6.57,0.0,0.0,-1.89
5088,Financial Services,0.72,0.615,1.02,1.49,26.0,2.81,3.9,2.0,2.78,1.89
7090,Health Care,2.61,1.77,2.65,0.9,23.0,11.15,4.27,1.7,0.65,12.39
5015,Industrial Products & Services,1.66,1.5,3.0,6.51,12.0,13.51,8.14,12.0,7.23,2.08
6432,Consumer Products & Services,3.3,2.45,4.09,2.99,19.0,17.74,5.38,20.0,6.06,5.93
7181,Industrial Products & Services,0.355,0.095,0.51,0.38,3.0,11.68,32.9,0.0,0.0,30.74
7007,Property,0.16,0.115,0.33,0.27,-6.0,-2.85,-17.81,0.0,0.0,-10.56
7722,Consumer Products & Services,0.445,0.35,0.58,0.86,9.0,4.77,10.72,0.0,0.0,5.55
7129,Consumer Products & Services,1.82,1.3,2.51,3.152,9.0,21.35,11.73,14.0,7.69,6.77
0159,Telecommunications & Media,0.05,0.03,0.09,-1.69,-4.0,-1.32,-26.4,0.0,0.0,0.78
4057,Property,0.105,0.055,0.14,1.029,2.0,5.96,56.76,0.0,0.0,5.79
7162,Industrial Products & Services,0.555,0.37,0.76,1.44,6.0,9.1,16.4,1.0,1.8,6.32
7054,Plantation,0.11,0.05,0.235,0.2834,-8.0,-1.45,-13.18,0.0,0.0,-5.12
6399,Telecommunications & Media,0.955,0.705,1.61,0.1641,8.0,12.57,13.16,7.5,7.85,76.6
8176,Industrial Products & Services,1.06,0.665,1.85,0.55,13.0,8.05,7.59,3.29,3.1,14.64
7048,Consumer Products & Services,3.76,3.72,4.49,2.03,38.0,9.78,2.6,20.0,5.32,4.82
5130,Real Estate Investment Trusts,1.01,0.805,1.241,1.2786,59.0,1.71,1.69,5.18,5.13,1.34
7099,Industrial Products & Services,0.445,0.375,0.59,1.64,4.0,11.11,24.97,0.0,0.0,6.77
8885,Consumer Products & Services,0.06,0.02,0.18,0.2338,-2.0,-3.56,-59.33,0.0,0.0,-15.23
7579,Industrial Products & Services,0.47,0.195,0.755,0.688,10.0,4.69,9.98,1.5,3.19,6.82
6888,Telecommunications & Media,3.89,3.01,5.28,1.77,26.0,14.89,3.83,9.5,2.44,8.41
5106,Real Estate Investment Trusts,1.95,1.66,2.06,1.4484,13.0,14.51,7.44,9.26,4.75,10.02
2305,Property,5.16,3.8,6.21,6.99,32.0,15.98,3.1,5.0,0.97,2.29
5021,Industrial Products & Services,0.155,0.115,0.34,0.69,-8.0,-1.9,-12.26,1.0,6.45,-2.75
7005,Industrial Products & Services,0.275,0.17,0.43,0.56,-18.0,-1.49,-5.42,0.0,0.0,-2.66
7251,Energy,0.02,0.01,0.08,-22.1,0.0,-36.64,-1832.0,0.0,0.0,1.66
1899,Plantation,13.14,11.0,17.68,14.32,18.0,74.44,5.67,60.0,4.57,5.2
6602,Property,0.275,0.19,0.395,1.18,2.0,11.5,41.82,0.0,0.0,9.75
5190,Construction,0.105,0.045,0.205,0.66,-2.0,-5.51,-52.48,0.0,0.0,-8.35
3239,Property,0.285,0.245,0.315,0.85,-10.0,-2.99,-10.49,0.0,0.0,-3.52
3395,Industrial Products & Services,0.195,0.17,0.275,1.2031,-5.0,-3.87,-19.85,0.0,0.0,-3.22
5196,Consumer Products & Services,1.11,1.0,1.8,1.0423,25.0,4.42,3.98,4.0,3.6,4.24
4219,Consumer Products & Services,0.185,0.105,0.24,0.82,12.0,1.55,8.38,0.0,0.0,1.89
6025,Telecommunications & Media,0.105,0.075,0.27,-0.04,-2.0,-5.19,-49.43,0.0,0.0,129.75
1562,Consumer Products & Services,2.29,1.94,2.82,0.59,20.0,11.67,5.1,16.0,6.99,19.78
5248,Consumer Products & Services,1.26,0.935,2.78,0.4118,9.0,13.59,10.79,21.25,16.87,33.0
9814,Property,0.11,0.11,0.285,0.82,-1.0,-7.9,-71.82,0.0,0.0,-9.63
5258,Financial Services,3.15,2.79,4.72,3.34,7.0,43.9,13.94,16.0,5.08,13.14
6173,Property,0.28,0.19,0.43,1.53,17.0,1.67,5.96,0.0,0.0,1.09
5932,Construction,0.065,0.03,0.181,0.3757,83.0,0.08,1.23,0.0,0.0,0.21
6998,Industrial Products & Services,0.09,0.04,0.15,0.29,10.0,0.88,9.78,0.0,0.0,3.03
5032,Transportation & Logistics,4.3,3.27,5.06,2.8915,15.0,28.11,6.54,14.0,3.26,9.72
5069,Plantation,5.2,5.0,6.78,5.99,-66.0,-7.91,-1.52,0.0,0.0,-1.32
0168,Industrial Products & Services,0.535,0.3,0.79,0.41,10.0,5.33,9.96,2.0,3.74,13.0
9288,Consumer Products & Services,0.51,0.32,1.44,1.9295,5.0,9.79,19.2,2.0,3.92,5.07
7036,Industrial Products & Services,0.035,0.01,0.05,0.13,-35.0,-0.1,-2.86,0.0,0.0,-0.77
8133,Transportation & Logistics,0.63,0.56,1.36,0.47,-1.0,-46.94,-74.51,0.0,0.0,-99.87
2771,Industrial Products & Services,0.455,0.345,1.26,1.85,-1.0,-63.09,-138.66,0.0,0.0,-34.1
5254,Plantation,0.3,0.2,0.79,1.14,-5.0,-6.43,-21.43,7.0,23.33,-5.64
6297,Industrial Products & Services,1.28,0.815,1.28,1.97,-15.0,-8.75,-6.84,0.0,0.0,-4.44
5100,Industrial Products & Services,1.11,0.61,1.15,1.03,9.0,12.26,11.05,6.0,5.41,11.9
9474,Consumer Products & Services,0.14,0.07,0.39,-0.09,-2.0,-7.54,-53.86,0.0,0.0,83.78
8761,Construction,0.655,0.52,0.8,1.7,6.0,10.22,15.6,4.0,6.11,6.01
9938,Industrial Products & Services,0.195,0.095,0.56,0.57,27.0,0.71,3.64,0.0,0.0,1.25
4162,Consumer Products & Services,13.16,9.26,34.78,1.36,11.0,120.65,9.17,0.0,0.0,88.71
7221,Industrial Products & Services,0.19,0.08,0.39,1.12,-33.0,-0.58,-3.05,0.0,0.0,-0.52
7188,Industrial Products & Services,0.105,0.05,0.23,0.16,-2.0,-4.21,-40.1,0.0,0.0,-26.31
5210,Energy,0.195,0.11,0.555,0.55,20.0,1.0,5.13,0.0,0.0,1.82
1818,Financial Services,6.63,4.32,7.13,0.9,26.0,25.2,3.8,20.8,3.14,28.0
2828,Consumer Products & Services,1.25,0.82,1.55,1.35,7.0,19.07,15.26,8.0,6.4,14.13
7174,Consumer Products & Services,0.335,0.195,0.575,0.67,-65.0,-0.52,-1.55,0.25,0.75,-0.78
7154,Consumer Products & Services,0.485,0.185,0.575,0.52,-37.0,-1.3,-2.68,0.0,0.0,-2.5
2852,Industrial Products & Services,1.35,0.83,3.25,2.46,9.0,14.92,11.05,7.4,5.48,6.07
7128,Consumer Products & Services,0.2,0.17,0.305,0.58,386.0,0.05,0.25,0.0,0.0,0.09
5105,Industrial Products & Services,2.93,1.6,3.99,9.019,1.0,374.69,127.88,4.0,1.37,41.54
5180,Real Estate Investment Trusts,0.815,0.735,1.13,1.2378,23.0,3.53,4.33,6.25,7.67,2.85
5257,Energy,0.735,0.325,1.47,0.7425,5.0,13.68,18.61,3.0,4.08,18.42
2836,Consumer Products & Services,27.1,17.38,39.26,0.51,28.0,95.19,3.51,100.0,3.69,186.65
7076,Industrial Products & Services,0.885,0.68,1.25,1.44,13.0,6.6,7.46,4.0,4.52,4.58
7035,Consumer Products & Services,0.53,0.3,0.61,0.44,10.0,5.33,10.06,1.25,2.36,12.11
5195,Technology,0.11,0.035,0.15,0.2609,-274.0,-0.04,-0.36,0.0,0.0,-0.15
8052,Industrial Products & Services,0.37,0.3,0.595,0.53,-54.0,-0.68,-1.84,0.0,0.0,-1.28
8982,Plantation,0.41,0.285,0.74,1.11,297.0,0.14,0.34,1.5,3.66,0.13
7209,Consumer Products & Services,0.27,0.18,0.33,1.1,21.0,1.3,4.81,0.4,1.48,1.18
2879,Industrial Products & Services,1.43,0.59,2.14,1.93,16.0,9.0,6.29,7.0,4.9,4.66
5273,Industrial Products & Services,0.59,0.4,0.92,0.77,17.0,3.43,5.81,2.0,3.39,4.45
7187,Transportation & Logistics,0.36,0.235,0.41,0.4,39.0,0.92,2.56,0.0,0.0,2.3
1929,Plantation,5.77,4.8,7.15,7.47,17.0,33.55,5.81,20.0,3.47,4.49
5007,Industrial Products & Services,0.965,0.68,1.9,1.96,8.0,11.67,12.09,7.85,8.13,5.95
5229,Industrial Products & Services,0.01,0.01,0.01,-0.002,-12.0,-0.08,-8.0,0.0,0.0,40.0
5188,Consumer Products & Services,0.04,0.02,0.045,0.19,163.0,0.02,0.5,0.0,0.0,0.11
5797,Industrial Products & Services,0.835,0.7,1.58,3.83,-98.0,-0.85,-1.02,5.0,5.99,-0.22
7016,Industrial Products & Services,0.29,0.18,0.5,1.81,-10.0,-2.91,-10.03,1.1,3.79,-1.61
1023,Financial Services,3.46,3.09,5.45,5.6674,8.0,45.95,13.28,26.0,7.51,8.11
7117,Transportation & Logistics,0.32,0.205,0.47,0.81,-17.0,-1.91,-5.97,0.75,2.34,-2.36
7202,Consumer Products & Services,0.68,0.57,1.08,0.77,13.0,5.19,7.63,5.0,7.35,6.74
7018,Industrial Products & Services,0.03,0.02,0.04,0.0654,-1.0,-3.33,-111.0,0.0,0.0,-50.92
7986,Industrial Products & Services,0.36,0.32,0.5,0.89,-1500.0,-0.02,-0.06,0.0,0.0,-0.02
5104,Consumer Products & Services,0.06,0.03,0.095,0.1,-8.0,-0.76,-12.67,0.3,5.0,-7.6
5071,Energy,0.685,0.53,1.51,2.2505,38.0,1.8,2.63,0.0,0.0,0.8
7205,Consumer Products & Services,1.94,1.39,2.22,1.09,12.0,16.23,8.37,10.0,5.15,14.89
2127,Industrial Products & Services,2.31,0.605,2.75,0.53,41.0,5.69,2.46,1.5,0.65,10.74
7195,Industrial Products & Services,0.125,0.05,0.31,0.172,1.0,10.09,80.72,0.0,0.0,58.66
5136,Transportation & Logistics,0.53,0.39,0.97,1.1,8.0,6.54,12.34,0.0,0.0,5.95
5037,Industrial Products & Services,0.015,0.01,0.03,0.04,-5.0,-0.33,-22.0,0.0,0.0,-8.25
8044,Industrial Products & Services,1.07,1.07,1.2,1.1,-22.0,-4.92,-4.6,0.0,0.0,-4.47
8435,Industrial Products & Services,0.565,0.4,0.885,1.27,-4.0,-13.78,-24.39,0.0,0.0,-10.85
5738,Property,0.955,0.8,1.58,3.0,-8.0,-12.62,-13.21,0.0,0.0,-4.21
5049,Property,1.08,0.92,1.5,4.06,4.0,25.02,23.17,3.0,2.78,6.16
6718,Property,0.92,0.77,1.3,3.23,9.0,9.96,10.83,6.0,6.52,3.08
8591,Construction,0.765,0.555,1.14,3.02,7.0,10.89,14.24,4.5,5.88,3.61
5094,Industrial Products & Services,0.74,0.54,1.19,2.23,8.0,9.16,12.38,4.0,5.41,4.11
0051,Technology,0.12,0.045,0.235,0.1,-12.0,-1.04,-8.67,0.0,0.0,-10.4
9423,Consumer Products & Services,0.3,0.24,0.51,0.67,12.0,2.52,8.4,1.5,5.0,3.76
2925,Consumer Products & Services,1.4,1.15,2.14,2.38,-3.0,-44.21,-31.58,0.0,0.0,-18.58
7157,Industrial Products & Services,0.31,0.27,0.475,0.6378,163.0,0.19,0.61,0.5,1.61,0.3
5082,Industrial Products & Services,0.185,0.185,0.36,0.73,-3.0,-6.24,-33.73,0.0,0.0,-8.55
5184,Industrial Products & Services,0.885,0.605,1.61,1.66,4.0,19.86,22.44,0.0,0.0,11.96
7204,Technology,0.69,0.43,0.925,0.3178,22.0,3.1,4.49,1.0,1.45,9.75
7179,Consumer Products & Services,0.025,0.02,0.035,0.02,9.0,0.27,10.8,0.0,0.0,13.5
4456,Technology,0.185,0.07,0.31,0.27,11.0,1.71,9.24,0.5,2.7,6.33
8125,Industrial Products & Services,2.34,1.45,2.6,0.71,29.0,7.97,3.41,3.35,1.43,11.23
3484,Property,0.405,0.15,0.52,0.61,5.0,7.53,18.59,0.0,0.0,12.34
5276,Industrial Products & Services,0.41,0.23,0.61,0.42,9.0,4.69,11.44,1.75,4.27,11.17
8338,Technology,0.165,0.06,0.28,0.04,-6.0,-2.55,-15.45,0.0,0.0,-63.75
5216,Technology,1.24,0.43,1.69,0.2106,28.0,4.42,3.56,2.5,2.02,20.99
0091,Energy,0.005,0.005,0.015,-0.0844,0.0,-1.04,-208.0,0.0,0.0,12.32
5141,Energy,1.36,0.71,3.01,1.36,6.0,22.26,16.37,0.0,0.0,16.37
7119,Consumer Products & Services,1.04,0.76,1.13,1.94,32.0,3.29,3.16,0.0,0.0,1.7
5132,Energy,0.72,0.34,1.11,0.87,9.0,8.25,11.46,4.4,6.11,9.48
7212,Industrial Products & Services,0.155,0.055,0.285,0.2398,-1.0,-19.14,-123.48,0.0,0.0,-79.82
7277,Energy,3.44,2.7,3.57,0.722,32.0,10.89,3.17,3.8,1.1,15.08
6947,Telecommunications & Media,4.39,3.82,5.1,0.08,24.0,18.31,4.17,18.2,4.15,228.88
0029,Technology,0.055,0.015,0.07,0.09,-16.0,-0.33,-6.0,0.0,0.0,-3.67
7528,Construction,1.6,1.38,1.9,4.32,25.0,6.29,3.93,0.0,0.0,1.46
5908,Consumer Products & Services,2.56,1.68,2.99,3.9344,10.0,24.79,9.68,10.0,3.91,6.3
7114,Industrial Products & Services,0.27,0.185,0.66,0.47,142.0,0.19,0.7,0.0,0.0,0.4
5835,Industrial Products & Services,0.08,0.025,0.28,0.04,-1.0,-10.57,-132.12,0.0,0.0,-264.25
5265,Industrial Products & Services,0.07,0.025,0.18,9.8,-81.0,-0.09,-1.29,0.0,0.0,-0.01
7169,Industrial Products & Services,0.71,0.7,1.3,1.69,7.0,9.55,13.45,7.0,9.86,5.65
7198,Property,0.065,0.035,0.09,0.21,3.0,2.08,32.0,0.0,0.0,9.9
1619,Consumer Products & Services,1.46,0.98,3.0,3.62,6.0,25.18,17.25,3.0,2.05,6.96
7233,Industrial Products & Services,4.76,1.333,5.0,0.91,23.0,20.7,4.35,2.0,0.42,22.75
7148,Health Care,1.68,1.05,1.82,0.77,21.0,8.08,4.81,5.5,3.27,10.49
3948,Plantation,0.35,0.275,0.475,1.5,69.0,0.51,1.46,5.0,14.29,0.34
3026,Consumer Products & Services,46.16,34.0,64.5,2.26,29.0,160.87,3.49,100.0,2.17,71.18
7165,Industrial Products & Services,0.385,0.1,0.79,0.4743,-12.0,-3.31,-8.6,0.0,0.0,-6.98
5178,Industrial Products & Services,0.055,0.025,0.095,0.1019,-3.0,-1.8,-32.73,0.0,0.0,-17.66
5259,Transportation & Logistics,0.335,0.2,0.485,0.52,5.0,6.86,20.48,0.0,0.0,13.19
3417,Property,0.4,0.3,0.845,1.38,13.0,3.18,7.95,3.0,7.5,2.3
2097,Consumer Products & Services,0.07,0.035,0.115,0.58,-2.0,-4.0,-57.14,0.0,0.0,-6.9
2143,Financial Services,0.225,0.14,0.295,0.42,4.0,6.32,28.09,0.0,0.0,15.05
8206,Property,0.395,0.295,0.9,1.55,6.0,7.02,17.77,0.0,0.0,4.53
5283,Property,0.4,0.31,1.14,1.11,6.0,7.06,17.65,0.0,0.0,6.36
0059,Telecommunications & Media,0.16,0.075,0.235,0.3537,22.0,0.72,4.5,0.0,0.0,2.04
3557,Property,0.34,0.295,0.39,0.4355,12.0,2.88,8.47,0.0,0.0,6.61
5253,Construction,0.5,0.3,0.88,0.3,11.0,4.67,9.34,0.5,1.0,15.57
5036,Technology,0.34,0.115,0.605,0.4352,-3.0,-10.48,-30.82,0.0,0.0,-24.08
7471,Utilities,0.185,0.09,0.375,0.78,13.0,1.43,7.73,0.0,0.0,1.83
0064,Industrial Products & Services,0.135,0.05,0.205,0.17,-12.0,-1.15,-8.52,0.0,0.0,-6.76
8907,Industrial Products & Services,0.35,0.195,0.5,1.33,11.0,3.33,9.51,0.0,0.0,2.5
5208,Industrial Products & Services,1.16,1.02,1.6,1.38,6.0,19.43,16.75,6.0,5.17,14.08
